id,text,category,faction,tags,weight
tok_urgod,Ur-God,proper_name,ancient,person,100
tok_ultzek,Ul-Tzek,proper_name,ancient,person,100
tok_oryx,Oryx,proper_name,ancient,person,100
tok_paighon,Paighon,proper_name,ancient,person,100
tok_hypnos,Hypnos,proper_name,ancient,person,100
tok_kitik,Kitik,proper_name,bug,person,100
tok_tzeench,Tzeench,proper_name,bug,person,100
tok_kliktik,Kliktik,proper_name,bug,person,100
tok_prikxis,Prikxis,proper_name,bug,person,100
tok_atzip,Atzip,proper_name,bug,person,100
tok_janemba,Janemba,proper_name,bug,person,1
tok_char,Char,proper_name,human,person,1
tok_echo,Echo,abstract,generic,space,
tok_light,Light,abstract,generic,,
tok_genesis,Genesis,abstract,generic,,
tok_legacy,Legacy,abstract,generic,,
tok_requiem,Requiem,abstract,generic,,
tok_paradox,Paradox,abstract,generic,,
tok_providence,Providence,abstract,generic,,
tok_oblivion,Oblivion,abstract,generic,,
tok_tribute,Tribute,abstract,generic,,
tok_dark,Dark,abstract,generic,,
tok_abyss,Abyss,abstract,generic,,
tok_apathy,Apathy,abstract,generic,,
tok_desire,Desire,abstract,generic,,
tok_envy,Envy,abstract,generic,,
tok_faith,Faith,abstract,generic,,
tok_fate,Fate,abstract,generic,,
tok_fear,Fear,abstract,generic,,
tok_glory,Glory,abstract,generic,,
tok_grief,Grief,abstract,generic,,
tok_hope,Hope,abstract,generic,,
tok_misery,Misery,abstract,generic,,
tok_modesty,Modesty,abstract,generic,,
tok_paranoia,Paranoia,abstract,generic,,
tok_perseverance,Perseverance,abstract,generic,,
tok_pity,Pity,abstract,generic,,
tok_pride,Pride,abstract,generic,,
tok_rage,Rage,abstract,generic,,
tok_regret,Regret,abstract,generic,,
tok_remorse,Remorse,abstract,generic,,
tok_serenity,Serenity,abstract,generic,,
tok_sorrow,Sorrow,abstract,generic,,
tok_sympathy,Sympathy,abstract,generic,,
tok_vice,Vice,abstract,generic,,
tok_wonder,Wonder,abstract,generic,,
tok_ascension,Ascension,abstract,generic,,
tok_accord,Accord,abstract,generic,,
tok_axiom,Axiom,abstract,generic,,
tok_balance,Balance,abstract,generic,,
tok_claim,Claim,abstract,generic,,
tok_concord,Concord,abstract,generic,,
tok_covenant,Covenant,abstract,generic,religion,
tok_decree,Decree,abstract,generic,religion,
tok_doctrine,Doctrine,abstract,generic,religion,
tok_dread,Dread,abstract,generic,religion,
tok_edict,Edict,abstract,generic,religion,
tok_enigma,Enigma,abstract,generic,,
tok_essence,Essence,abstract,generic,,
tok_exile,Exile,abstract,generic,,
tok_fracture,Fracture,abstract,generic,,
tok_grace,Grace,abstract,generic,,
tok_ideal,Ideal,abstract,generic,,
tok_impulse,Impulse,abstract,generic,,
tok_insight,Insight,abstract,generic,,
tok_judgement,Judgement,abstract,generic,religion,
tok_law,Law,abstract,generic,religion|corporate,
tok_mandate,Mandate,abstract,generic,military,
tok_oath,Oath,abstract,generic,religion,
tok_order,Order,abstract,generic,military|religion,
tok_origin,Origin,abstract,generic,,
tok_paradox,Paradox,abstract,generic,,
tok_penance,Penance,abstract,generic,religion,
tok_shadow,Shadow,abstract,generic,,
tok_soul,Soul,abstract,generic,religion,
tok_truth,Truth,abstract,generic,,
tok_nexus,Nexus,place_noun,generic,space,
tok_home,Home,place_noun,generic,,
tok_heaven,Heaven,place_noun,human,religion,
tok_horizon,Horizon,place_noun,generic,,
tok_verge,Verge,place_noun,generic,,
tok_expanse,Expanse,place_noun,generic,,
tok_reach,Reach,place_noun,generic,,
tok_rim,Rim,place_noun,generic,,
tok_fringe,Fringe,place_noun,generic,,
tok_drift,Drift,place_noun,generic,,
tok_halo,Halo,place_noun,generic,religion,
tok_belt,Belt,place_noun,generic,,
tok_field,Field,place_noun,generic,,
tok_zone,Zone,place_noun,generic,,
tok_region,Region,place_noun,generic,,
tok_tract,Tract,place_noun,generic,,
tok_span,Span,place_noun,generic,,
tok_corridor,Corridor,place_noun,generic,,
tok_crossing,Crossing,place_noun,generic,,
tok_passage,Passage,place_noun,generic,,
tok_stretch,Stretch,place_noun,generic,,
tok_edge,Edge,place_noun,generic,,
tok_threshold,Threshold,place_noun,generic,,
tok_gate,Gate,place_noun,generic,,
tok_approach,Approach,place_noun,generic,,
tok_entry,Entry,place_noun,generic,,
tok_terminus,Terminus,place_noun,generic,,
tok_boundary,Boundary,place_noun,generic,,
tok_frontier,Frontier,place_noun,generic,,
tok_line,Line,place_noun,generic,,
tok_divide,Divide,place_noun,generic,,
tok_shoal,Shoal,place_noun,generic,,
tok_current,Current,place_noun,generic,,
tok_wake,Wake,place_noun,generic,,
tok_gyre,Gyre,place_noun,generic,,
tok_flow,Flow,place_noun,generic,,
tok_tide,Tide,place_noun,generic,,
tok_surge,Surge,place_noun,generic,,
tok_shear,Shear,place_noun,generic,,
tok_sector,Sector,place_noun,generic,,
tok_quadrant,Quadrant,place_noun,generic,,
tok_domain,Domain,place_noun,generic,,
tok_extent,Extent,place_noun,generic,,
tok_vast,Vast,place_noun,generic,,
tok_envelope,Envelope,place_noun,generic,,
tok_pocket,Pocket,place_noun,generic,,
tok_basin,Basin,place_noun,generic,,
tok_hollow,Hollow,place_noun,generic,,
tok_cradle,Cradle,place_noun,generic,,
tok_ring,Ring,place_noun,generic,,
tok_arc,Arc,place_noun,generic,,
tok_loop,Loop,place_noun,generic,,
tok_interface,Interface,place_noun,generic,,
tok_conflux,Conflux,place_noun,generic,,
tok_junction,Junction,place_noun,generic,,
tok_axis,Axis,place_noun,generic,,
tok_ingress,Ingress,place_noun,generic,,
tok_egress,Egress,place_noun,generic,,
tok_slip,Slip,place_noun,generic,,
tok_torrent,Torrent,place_noun,generic,,
tok_channel,Channel,place_noun,generic,,
tok_darkreach,Darkreach,place_noun,generic,,
tok_lightreach,Lightreach,place_noun,generic,,
tok_voidreach,Voidreach,place_noun,generic,,
tok_relay,Relay,structure,generic,corporate,
tok_bunker,Bunker,structure,generic,military,
tok_hangar,Hangar,structure,generic,military,
tok_port,Port,structure,generic,military|corporate,
tok_bazaar,Bazaar,structure,generic,corporate,
tok_market,Market,structure,generic,corporate,
tok_cathedral,Cathedral,structure,generic,religion,
tok_sanctuary,Sanctuary,structure,generic,religion,
tok_outpost,Outpost,structure,generic,military,
tok_demise,Demise,event_noun,generic,,
tok_downfall,Downfall,event_noun,generic,,
tok_defeat,Defeat,event_noun,generic,,
tok_triumph,Triumph,event_noun,generic,,
tok_landslide,Landslide,event_noun,generic,,
tok_conquest,Conquest,event_noun,generic,,
tok_coup,Coup,event_noun,generic,,
tok_supremacy,Supremacy,event_noun,generic,,
tok_preeminence,Preeminence,event_noun,generic,,
tok_slaughter,Slaughter,event_noun,generic,,
tok_rout,Rout,event_noun,generic,,
tok_event,Event,event_noun,generic,,
tok_specular,Specular,event_noun,generic,,
tok_fall,Fall,event_noun,generic,,
tok_cataclysm,Cataclysm,event_noun,generic,,
tok_exodus,Exodus,event_noun,generic,,
tok_collapse,Collapse,event_noun,generic,,
tok_convergence,Convergence,event_noun,generic,,
tok_uprising,Uprising,event_noun,generic,,
tok_silence,Silence,event_noun,generic,,
tok_annihilation,Annihilation,event_noun,generic,destroy,
tok_erasure,Erasure,event_noun,generic,destroy,
tok_rupture,Rupture,event_noun,generic,destroy,
tok_breach,Breach,event_noun,generic,war,
tok_implosion,Implosion,event_noun,generic,war,
tok_fracture,Fracture,event_noun,generic,war,
tok_desolation,Desolation,event_noun,generic,war,
tok_emergence,Emergence,event_noun,generic,cosmic,
tok_ascension,Ascension,event_noun,generic,cosmic,
tok_divergence,Divergence,event_noun,generic,cosmic,
tok_unbinding,Unbinding,event_noun,generic,cosmic,
tok_conversion,Conversion,event_noun,generic,cosmic|religion,
tok_schism,Schism,event_noun,generic,religion,
tok_secession,Secession,event_noun,generic,military,
tok_severance,Severance,event_noun,generic,,
tok_vanishing,Vanishing,event_noun,generic,,
tok_aberration,Aberration,event_noun,generic,,
tok_distortion,Distortion,event_noun,generic,,
tok_anomaly,Anomaly,event_noun,generic,,
tok_sacrifice,Sacrifice,event_noun,generic,,
tok_lament,Lament,event_noun,generic,,
tok_wake,Wake,event_noun,generic,,
tok_prime,Prime,descriptor,generic,,
tok_perfection,Perfection,descriptor,generic,,
tok_supreme,Supreme,descriptor,generic,,
tok_alpha,Alpha,descriptor,human,military|corporate,
tok_beta,Beta,descriptor,human,military|corporate,
tok_delta,Delta,descriptor,human,military|corporate,
tok_bravo,Bravo,descriptor,human,military|corporate,
tok_echo,Echo,descriptor,human,military|corporate,
tok_zulu,Zulu,descriptor,human,military|corporate,
tok_foxtrot,Foxtrot,descriptor,human,military|corporate,
tok_tango,Tango,descriptor,human,military|corporate,
tok_gamma,Gamma,descriptor,human,military|corporate,
tok_outer,Outer,descriptor,generic,,
tok_deep,Deep,descriptor,generic,,
tok_far,Far,descriptor,generic,,
tok_boundary,Boundary,descriptor,generic,,
tok_periphery,Periphery,descriptor,generic,,
tok_ashen,Ashen,adjective,ancient,,
tok_silent,Silent,adjective,generic,,
tok_broken,Broken,adjective,generic,,
tok_radiant,Radiant,adjective,generic,,
tok_frozen,Frozen,adjective,generic,,
tok_shattered,Shattered,adjective,generic,,
tok_forgotten,Forgotten,adjective,generic,,
tok_crimson,Crimson,adjective,generic,,
tok_veiled,Veiled,adjective,generic,,
tok_ancient,Ancient,adjective,generic,,
tok_regal,Regal,adjective,generic,,
tok_chaos,Chaos,adjective,generic,,
tok_divine,Divine,adjective,generic,,
tok_exalted,Exalted,adjective,generic,,
